mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,signal_m66_counts,signal_m78_counts,signal_m80_counts
148.1875,311343.0,312146.22113026166,10756.117229832931,0.0,0.0,0.0
148.8125,307987.0,307060.0054692523,10524.37879525006,0.0,0.0,0.0
149.4375,302477.0,302051.4514811184,10297.895029358018,0.0,0.0,0.0
150.0625,297371.0,297119.68854549166,10076.913291258803,0.0,0.0,0.0
150.6875,292156.0,292263.83539718756,9861.607236952477,0.0,0.0,0.0
151.3125,286796.0,287483.0016318551,9652.076251114788,0.0,0.0,0.0
151.9375,282887.0,282776.2894866156,9448.320572454464,0.0,0.0,0.0
152.5625,278748.0,278142.79513756355,9250.287135479715,0.0,0.0,0.0
153.1875,273359.0,273581.61042112595,9057.821139259342,0.0,0.0,0.0
153.8125,268380.0,269091.823797662,8870.7190654161,0.0,0.0,0.0
154.4375,264878.0,264672.5218222451,8688.727622502633,0.0,0.0,0.0
155.0625,259961.0,260322.78993913048,8511.551899255408,0.0,0.0,0.0
155.6875,256271.0,256041.71382572685,8338.8707552923,0.0,0.0,0.0
