mass_MeV,mass_GeV,dataset_set,includes_2016,sigma_mass_res_min_GeV,v4_k8_eps2_obs_ee,v4p1_k12_eps2_obs_ee,v4_k8_p0_local_asymptotic,v4p1_k12_p0_local_asymptotic,v4_k8_Z_local_asymptotic,v4p1_k12_Z_local_asymptotic,minimal_visible_factor,v4_k8_eps2_obs_minimal_visible,v4p1_k12_eps2_obs_minimal_visible,observed_limit_ratio_k12_over_k8,observed_limit_fractional_change,delta_Z_k12_minus_k8,p0_ratio_k12_over_k8
63,0.063,2015+2016+2021,True,0.002102462875,4.306426308425316e-06,4.60940292893808e-06,0.1567393474132548,0.0934124856386663,1.0079495240735714,1.3200300919108283,1.0,4.306426308425316e-06,4.60940292893808e-06,1.0703545350166577,0.07035453501665767,0.3120805678372569,0.5959734245439815
64,0.064,2015+2016+2021,True,0.002111994,6.320055237808077e-06,6.734116419921384e-06,0.009848644364579,0.0029439698814884,2.3320646810771124,2.7539575883124776,1.0,6.320055237808077e-06,6.734116419921384e-06,1.0655154372126836,0.0655154372126836,0.4218929072353652,0.29892133094748474
65,0.065,2015+2016+2021,True,0.002121696875,8.123316175265241e-06,8.47828876910139e-06,0.0002437445402325,3.259182521304132e-05,3.487538308784341,3.993214141165979,1.0,8.123316175265241e-06,8.47828876910139e-06,1.043697990596132,0.04369799059613211,0.5056758323816379,0.1337130472007826
66,0.066,2015+2016+2021,True,0.0021315715,7.945126950928583e-06,8.102623167684557e-06,0.0001763637359786,4.437467718164273e-05,3.5731389483529403,3.9194552034965895,1.0,7.945126950928583e-06,8.102623167684557e-06,1.019822995620928,0.01982299562092793,0.34631625514364917,0.2516088522134004
67,0.067,2015+2016+2021,True,0.002141617875,6.580440475779344e-06,6.592579487979944e-06,0.0029677883485855,0.0017399450499956,2.7513192437005816,2.9218232053358104,1.0,6.580440475779344e-06,6.592579487979944e-06,1.001844711193009,0.0018447111930091076,0.17050396163522885,0.5862766631673341
68,0.068,2015+2016+2021,True,0.002151836,4.517688022366195e-06,4.45319175224651e-06,0.0623783137182744,0.0531374960412514,1.5351107447434238,1.61516488789517,1.0,4.517688022366195e-06,4.45319175224651e-06,0.9857236113250015,-0.014276388674998475,0.0800541431517463,0.8518584885324367
69,0.069,2015+2016+2021,True,0.002162225875,2.368671502783929e-06,2.27011275334688e-06,0.5,0.5,0.0,0.0,1.0,2.368671502783929e-06,2.27011275334688e-06,0.9583907057938545,-0.04160929420614545,0.0,1.0
70,0.07,2015+2016+2021,True,0.0021727875,1.6541936414516802e-06,1.5676550290582404e-06,0.4998622584051908,0.5,0.0003452669830012,0.0,1.0,1.6541936414516802e-06,1.5676550290582404e-06,0.9476853191640274,-0.05231468083597257,-0.0003452669830012,1.0002755591015187
71,0.071,2015+2016+2021,True,0.002183520875,1.3741413840022653e-06,1.2926410285515583e-06,0.4998622584051908,0.5,0.0003452669830012,0.0,1.0,1.3741413840022653e-06,1.2926410285515583e-06,0.9406899781932682,-0.05931002180673184,-0.0003452669830012,1.0002755591015187
72,0.072,2015+2016+2021,True,0.002194426,1.2897068180641472e-06,1.1339702931939487e-06,0.5,0.5,0.0,0.0,1.0,1.2897068180641472e-06,1.1339702931939487e-06,0.8792465677556398,-0.12075343224436019,0.0,1.0
