dataset,study,mass_GeV,inj_nsigma,n_toys,pull_mean_correct,pull_mean_ratio_of_means,delta_z_mean,abs_definition_delta_ratio,abs_definition_delta_deltaZ,sigma_ratio_mean
2016,profiled_lslb0p5,0.075,1.0,10,-0.5649655829582209,-0.6008573392036007,-0.5902088289785915,0.03589175624537988,0.025243246020370647,1.0259872098756162
2016,profiled_lslb0p5,0.075,2.0,10,-1.360902669254079,-1.3937266431167918,-1.4452204306945435,0.03282397386271274,0.08431776144046443,1.0442356548013043
2016,profiled_lslb0p5,0.075,3.0,10,-2.12283998243807,-2.1653578622037144,-2.2955981767165623,0.04251787976564447,0.17275819427849237,1.0614597654847742
2016,profiled_lslb0p5,0.075,5.0,10,-3.7821882477509745,-3.8436270780208615,-4.206096793998845,0.061438830269886946,0.42390854624787044,1.0932710665856251
2016,profiled_lslb0p5,0.09,0.0,10,0.3998128972556609,0.3781132181725745,0.3998128972556608,0.0216996790830864,5.551115123125783e-17,1.006879023076214
2016,profiled_lslb0p5,0.09,1.0,10,-0.3505577193565265,-0.3809563872676987,-0.37558859390309696,0.030398667911172184,0.025030874546570436,1.0257987287222874
2016,profiled_lslb0p5,0.09,2.0,10,-1.139326337217684,-1.1726244348215078,-1.2334940806520043,0.03329809760382374,0.09416774343432022,1.0498008879957836
2016,profiled_lslb0p5,0.09,3.0,10,-1.9694577354822145,-2.0117013038904896,-2.150246381613177,0.042243568408275145,0.18078864613096268,1.064637649325048
2016,profiled_lslb0p5,0.09,5.0,10,-3.520706582343041,-3.5658413453318403,-3.9481482400994636,0.04513476298879926,0.4274416577564226,1.0946240941415581
2016,profiled_lslb0p5,0.105,0.0,10,-0.7760505867181984,-0.7719900792793785,-0.7760505867181984,0.004060507438819916,0.0,1.0025870659594782
2016,profiled_lslb0p5,0.105,1.0,10,-1.5147634145911346,-1.5143058678875994,-1.542310022288477,0.00045754670353526095,0.027546607697342296,1.0284413135629795
2016,profiled_lslb0p5,0.105,2.0,10,-2.238105684577387,-2.2379457375781113,-2.33437230202735,0.00015994699927546208,0.09626661744996312,1.05091354344841
2016,profiled_lslb0p5,0.105,3.0,10,-3.0967247269931386,-3.106276817953341,-3.300223574142432,0.009552090960202264,0.20349884714929356,1.0733807364517465
2016,profiled_lslb0p5,0.105,5.0,10,-4.630966603941274,-4.641912414052506,-5.103538712395799,0.010945810111231857,0.4725721084545249,1.105978502916293
2016,profiled_lslb0p5,0.12,0.0,10,0.19971488329820525,0.1577367695207977,0.19971488329820514,0.04197811377740754,1.1102230246251565e-16,1.0025281550961713
2016,profiled_lslb0p5,0.12,1.0,10,-0.4936171427499568,-0.5361600193084042,-0.526211539230383,0.04254287655844735,0.03259439648042617,1.0339955348201588
2016,profiled_lslb0p5,0.12,2.0,10,-1.2551040835290013,-1.308665766842053,-1.3680087288324831,0.05356168331305167,0.11290464530348188,1.0603515355153226
2016,profiled_lslb0p5,0.12,3.0,10,-1.9552652727700874,-2.010576400480561,-2.176318638165676,0.05531112771047364,0.22105336539558862,1.0804498345545581
2016,profiled_lslb0p5,0.12,5.0,10,-3.6306577025186875,-3.6862190783324382,-4.169871881796166,0.05556137581375076,0.5392141792774789,1.1237872597999818
2016,profiled_lslb0p5,0.15,0.0,10,-0.17660317232724781,-0.33367515328925546,-0.17660317232724784,0.15707198096200764,2.7755575615628914e-17,1.0116997943207915
2016,profiled_lslb0p5,0.15,1.0,10,-0.6459028867623744,-0.8456762326110896,-0.7094525949829678,0.1997733458487152,0.06354970822059336,1.0683105752271025
2016,profiled_lslb0p5,0.15,2.0,10,-1.2062718329363022,-1.425753041523717,-1.423608697213647,0.2194812085874147,0.21733686427734478,1.1232072783451184
2016,profiled_lslb0p5,0.15,3.0,10,-1.6429874898038612,-1.8910311406597176,-2.053010873064024,0.24804365085585633,0.41002338326016297,1.160588391318223
2016,profiled_lslb0p5,0.15,5.0,10,-2.8768296758263086,-3.104514809569521,-3.880877079606664,0.22768513374321264,1.0040474037803553,1.2596325128199204
2016,profiled_lslb0p5,0.18,0.0,10,-0.04268563886069281,-0.19086307974503994,-0.042685638860692716,0.14817744088434714,9.020562075079397e-17,1.009756842483465
2016,profiled_lslb0p5,0.18,1.0,10,-0.3441108124519141,-0.5209398748282229,-0.425884753249997,0.1768290623763088,0.08177394079808287,1.090257074343072
2016,profiled_lslb0p5,0.18,2.0,10,-0.5814211357662483,-0.7931974004315554,-0.8481395482050648,0.21177626466530708,0.26671841243881644,1.1561300488395823
2016,profiled_lslb0p5,0.18,3.0,10,-1.0204147204719405,-1.234288973006922,-1.586992755152145,0.2138742525349815,0.5665780346802045,1.236935524708713
2016,profiled_lslb0p5,0.18,5.0,10,-1.7130398531987012,-1.9259117476086691,-3.0643873314697014,0.2128718944099679,1.3513474782710002,1.380933979167779
