dataset,mass_GeV,inj_nsigma,toy_index,delta_abs_pull_profiled_minus_fixed,pull_correct_fixed1p0,pull_correct_profiled0p5,A_hat_fixed1p0,A_hat_profiled0p5,sigma_A_fixed1p0,sigma_A_profiled0p5,strength_fixed1p0,strength_profiled0p5
2015,0.03,1.0,6,-11.298333488461079,12.022175850141576,-0.7238423616804956,27314.94087982167,23978.24683982686,2098.1759967408834,91393.98866742982,2090.3000824566902,90133.08744025973
2015,0.03,1.0,0,-5.047528495808124,-5.52110000300508,-0.47357150719695645,-9476.261004820895,49117.161213233536,2096.519646268684,94355.63235189332,2098.833620493346,93801.30023864156
2015,0.03,1.0,7,-5.9605647822828125,-6.906026494172832,-0.9454617118900197,-12378.568874846487,2894.483030325434,2096.4249084924368,80976.80218945628,2099.397086246135,79454.94905174826
2015,0.03,1.0,4,-10.015417187888946,-11.164720468495869,-1.1493032806069226,-21305.875736187907,-14603.962795475853,2096.594382410344,91975.9897942951,2102.014479242316,91104.34401217636
2015,0.03,1.0,1,-10.692723392474173,-12.075695672503326,-1.3829722800291528,-23209.07633286736,-36054.98499778175,2096.086077246706,91475.32202358056,2102.6212393351566,90452.84966757044
2015,0.03,1.0,3,-21.443208169685352,-23.281653360819746,-1.8384451911343942,-46699.97067558934,-75464.46658539759,2096.48074019041,88547.35075349288,2109.567195158584,87324.98459505185
2015,0.03,1.0,9,-33.17036845443629,-35.26135884452224,-2.090990390085947,-71780.07833356514,-106072.85921079376,2095.6506987199264,96892.9604656099,2115.4129667719603,96529.3899897741
2015,0.03,2.0,8,-24.845578454352673,26.4793654491904,-1.6337869948377275,59689.74339508632,29606.917791353248,2097.0796894488058,91719.53232870778,4160.403922096677,179457.09688259452
2015,0.03,2.0,5,-19.638275237336714,20.875668097555927,-1.2373928602192146,47951.651045244296,66112.98549192696,2097.3443827334577,91279.24760295729,4168.185825027325,179061.27476200816
2015,0.03,2.0,2,-7.9774691942653675,9.443025549185874,-1.4655563549205066,23978.76890806296,45581.21519500551,2096.7239731645946,92095.82011863647,4179.35085987918,180552.82963148903
2015,0.03,2.0,6,-9.842950801322974,11.457259624513645,-1.6143088231906713,28226.25232787481,31502.20224655483,2098.7263055045028,92153.35411469384,4180.6001649133805,180266.17488051945
2015,0.03,2.0,0,-4.833577234911817,-6.150322358788306,-1.3167451238764885,-8700.052323916747,62351.21902744767,2097.08025246411,95121.96337670591,4197.667240986692,187602.6004772831
2015,0.03,2.0,7,-5.360538273925368,-7.184560360765581,-1.8240220868402133,-10866.802635107464,8244.627633309112,2096.9406687529527,82600.57351124931,4198.79417249227,158909.89810349653
2015,0.03,2.0,4,-9.68176886180667,-11.829817054607611,-2.1480481928009416,-20604.488596079507,-18200.296285536384,2097.117600386004,93298.17877529384,4204.028958484632,182208.6880243527
2015,0.03,2.0,1,-10.218130049137834,-12.272415899067225,-2.0542858499293914,-21525.80763147929,-8295.31623485592,2096.6572777333363,92100.6273671699,4205.242478670313,180905.69933514087
2015,0.03,2.0,3,-20.891431991412848,-23.605621227980205,-2.714189236567357,-45283.55929040554,-67874.61316497649,2097.0722694663164,89354.33796863837,4219.134390317168,174649.9691901037
2015,0.03,2.0,9,-32.67471208180321,-35.471835702720654,-2.7971236209174446,-70125.62948826465,-79080.90589532681,2096.211091102497,97292.69162069226,4230.825933543921,193058.7799795482
2015,0.03,3.0,8,-23.72220020302639,25.939403470770223,-2.217203267743834,60652.90686182843,63926.15100686436,2097.6697108704843,92575.85774979212,6240.605883145016,269185.6453238918
2015,0.03,3.0,5,-18.34389059858016,20.585687253719097,-2.2417966551389372,49438.8511675589,61075.10280507519,2097.89315740312,92567.18661892912,6252.278737540988,268591.9121430123
2015,0.03,3.0,2,-6.847090416506553,9.31428241844596,-2.4671920019394062,25803.78324070155,41140.66295406091,2097.290598811589,93097.16524397756,6269.026289818769,270829.2444472336
2015,0.03,3.0,6,-8.498408745811343,10.964525333495514,-2.466116587684172,29288.0040390148,40784.5518502749,2099.233946893242,93107.80829146683,6270.900247370071,270399.26232077915
2015,0.03,3.0,0,-3.994200651954444,-6.286700394433852,-2.2924997424794085,-6890.896772920877,61640.40813729815,2097.665994402538,95861.94864342516,6296.500861480039,281403.9007159246
2015,0.03,3.0,7,-5.41867869223074,-8.099397264818574,-2.6807185725878333,-10690.274356848751,14199.93156039863,2097.4975124852945,83621.2043618023,6298.191258738405,238364.8471552448
2015,0.03,3.0,4,-9.309875119544195,-12.119108977442826,-2.8092338578986302,-19116.22068091689,10630.275947999073,2097.700760506572,93506.90237124742,6306.0434377269485,273313.03203652904
2015,0.03,3.0,1,-9.894738719683948,-12.819198998563824,-2.924460278879876,-20576.36142779884,-933.712266157296,2097.184476878488,93108.55176776816,6307.86371800547,271358.5490027113
