mass_GeV,mass_MeV,dataset_set,density_meta_terms,density_current_samples,density_full_campaign_scale,campaign_scale_sqrt_current_over_full,current_candidate_eps2_observed,current_candidate_eps2_expected_median,projected_full_campaign_eps2_observed_equivalent,projected_full_campaign_eps2_expected_median,campaign_scale_2015,campaign_scale_2016,campaign_scale_2021
0.11,110.0,2016+2021,2016:29278387.096774194;2021:110280100.00000006,139558487.09677425,11320793870.967747,0.11102983258507207,6.82118827493472e-06,7.515069768890564e-06,7.573553921972585e-07,8.343969383050557e-07,1.0,10.0,100.0
0.111,111.0,2016+2021,2016:27819870.967741959;2021:108250560.00000006,136070430.96774203,11103254709.677425,0.11070232160118391,7.221033528664243e-06,7.502768939342591e-06,7.993851759831209e-07,8.30573940022477e-07,1.0,10.0,100.0
0.112,112.0,2016+2021,2016:26470124.999999978;2021:106243199.99999991,132713324.99999988,10889021249.99999,0.11039841605780226,7.623372119200472e-06,7.547719013116271e-06,8.416082069789434e-07,8.332562238973948e-07,1.0,10.0,100.0
0.113,113.0,2016+2021,2016:25107125;2021:103604299.99999991,128711424.99999991,10611501249.99999,0.11013367582294037,7.604740391378532e-06,7.624317474168914e-06,8.375380129817039e-07,8.396941090712987e-07,1.0,10.0,100.0
0.114,114.0,2016+2021,2016:23809062.500000019;2021:101575893.33333339,125384955.8333334,10395679958.33334,0.10982374907848765,7.862037240698467e-06,7.7050494480288e-06,8.634384051681939e-07,8.461974172176546e-07,1.0,10.0,100.0
0.115,115.0,2016+2021,2016:22645272.727272745;2021:99577699.999999911,122222972.72727266,10184222727.272718,0.10955002396390003,7.555196227551684e-06,7.771301497846648e-06,8.27671927780254e-07,8.513462653197924e-07,1.0,10.0,100.0
0.116,116.0,2016+2021,2016:21482363.636363637;2021:97033400.000000179,118515763.63636382,9918163636.363653,0.10931315395093777,7.162665916570794e-06,7.838123217480981e-06,7.82973602037238e-07,8.568099699589182e-07,1.0,10.0,100.0
0.117,117.0,2016+2021,2016:20368606.060606059;2021:95693599.999999911,116062206.06060597,9773046060.60605,0.10897589331831425,7.1208174632460216e-06,7.826489397685667e-06,7.759974442138876e-07,8.528986736591108e-07,1.0,10.0,100.0
0.118,118.0,2016+2021,2016:19337529.411764737;2021:93102400.000000045,112439929.41176479,9503615294.117651,0.10877168548766114,7.459148734062207e-06,7.906767827005953e-06,8.113441801071001e-07,8.600324633030494e-07,1.0,10.0,100.0
0.119,119.0,2016+2021,2016:18345823.529411748;2021:91266729.411764503,109612552.94117625,9310131176.470568,0.10850562337929624,8.344513964546907e-06,7.90186062572112e-06,9.054266895204048e-07,8.57396313050186e-07,1.0,10.0,100.0
0.12,120.0,2016+2021,2016:17360882.352941163;2021:89393200.000000045,106754082.35294122,9112928823.529415,0.10823388730592544,9.573128364267066e-06,7.993702908151661e-06,1.0361368965432398e-06,8.651895397179353e-07,1.0,10.0,100.0
