truth_model,study_scenario,background_toy_index,mass_mev,factor_previous,factor_current,lml_previous,lml_current,delta_lml,lml_tolerance,regression_beyond_tolerance
gengamma,2021_10pct,3,210,6,9,1487.1379969813152,1536.8051139437814,49.66711696246625,0.0015368051139437813,False
gengamma,2021_10pct,3,230,6,9,1486.3883333419992,1532.8138707052676,46.425537363268404,0.0015328138707052675,False
gengamma,2021_10pct,3,250,6,9,1483.3941263112454,1525.7624519971098,42.36832568586442,0.0015257624519971098,False
gengamma,2021_10pct,4,50,6,9,1637.0453781917724,1648.764030953262,11.718652761489466,0.001648764030953262,False
gengamma,2021_10pct,4,70,6,9,1587.6633554132857,1621.1122430042822,33.44888759099649,0.0016211122430042821,False
gengamma,2021_10pct,4,90,6,9,1555.0756511352338,1601.731871370987,46.65622023575315,0.0016017318713709868,False
gengamma,2021_10pct,4,110,6,9,1536.345287736318,1589.2890436221064,52.943755885788505,0.0015892890436221064,False
gengamma,2021_10pct,4,130,6,9,1521.2116125922803,1576.0857535763353,54.874140984054975,0.001576085753576335,False
gengamma,2021_10pct,4,150,6,9,1506.6769847148796,1560.7741303607925,54.09714564591286,0.0015607741303607925,False
gengamma,2021_10pct,4,170,6,9,1506.0276140387064,1560.7171358305072,54.68952179180087,0.001560717135830507,False
gengamma,2021_10pct,4,190,6,9,1496.1720790827285,1549.051794194625,52.87971511189653,0.0015490517941946249,False
gengamma,2021_10pct,4,210,6,9,1488.5975376718611,1538.7592344519271,50.161696780065995,0.001538759234451927,False
gengamma,2021_10pct,4,230,6,9,1490.9336472660614,1537.1266754490798,46.19302818301844,0.0015371266754490797,False
gengamma,2021_10pct,4,250,6,9,1484.638277297697,1528.607752185398,43.96947488770115,0.0015286077521853981,False
gengamma,2021_10pct,5,50,6,9,1644.3799945160783,1655.471201521242,11.091207005163596,0.001655471201521242,False
gengamma,2021_10pct,5,70,6,9,1593.359215255348,1629.0720353583645,35.712820103016384,0.0016290720353583643,False
gengamma,2021_10pct,5,90,6,9,1559.9385615135025,1606.6326852911016,46.69412377759909,0.0016066326852911014,False
gengamma,2021_10pct,5,110,6,9,1540.121851338714,1591.5172633614093,51.39541202269538,0.0015915172633614093,False
gengamma,2021_10pct,5,130,6,9,1528.5166315272734,1580.883937420945,52.36730589367153,0.0015808839374209448,False
gengamma,2021_10pct,5,150,6,9,1510.260739591359,1564.161646199613,53.90090660825399,0.0015641616461996128,False
gengamma,2021_10pct,5,170,6,9,1504.9736435643076,1558.1402518975278,53.16660833322021,0.0015581402518975278,False
gengamma,2021_10pct,5,190,6,9,1507.5282092484404,1559.3644695575788,51.836260309138424,0.0015593644695575787,False
gengamma,2021_10pct,5,210,6,9,1497.6348912588053,1548.2113120458912,50.57642078708591,0.0015482113120458912,False
gengamma,2021_10pct,5,230,6,9,1489.0270466536092,1537.7314060448953,48.70435939128606,0.0015377314060448953,False
gengamma,2021_10pct,5,250,6,9,1487.5312791068975,1532.1959310721315,44.66465196523404,0.0015321959310721314,False
gengamma,2021_10pct,6,50,6,9,1647.994663564002,1659.6272004006016,11.632536836599684,0.0016596272004006016,False
gengamma,2021_10pct,6,70,6,9,1594.791091494796,1627.5427289504903,32.75163745569421,0.0016275427289504903,False
gengamma,2021_10pct,6,90,6,9,1569.6243960861611,1615.3713640759197,45.74696798975856,0.0016153713640759196,False
gengamma,2021_10pct,6,110,6,9,1546.0906561057825,1596.4913934033852,50.400737297602745,0.0015964913934033852,False
gengamma,2021_10pct,6,130,6,9,1532.1890301176654,1585.1096980793536,52.920667961688196,0.0015851096980793536,False
gengamma,2021_10pct,6,150,6,9,1514.18687587923,1569.0494733280918,54.862597448861834,0.0015690494733280917,False
gengamma,2021_10pct,6,170,6,9,1509.810045766918,1563.6443427856125,53.83429701869454,0.0015636443427856125,False
gengamma,2021_10pct,6,190,6,9,1499.8243632698668,1551.537052051141,51.71268878127421,0.001551537052051141,False
gengamma,2021_10pct,6,210,6,9,1500.6858817170782,1548.6258707377986,47.939989020720304,0.0015486258707377986,False
gengamma,2021_10pct,6,230,6,9,1486.074531380495,1531.9935040890457,45.918972708550655,0.0015319935040890456,False
gengamma,2021_10pct,6,250,6,9,1490.1022760859848,1533.749042701765,43.64676661578005,0.001533749042701765,False
gengamma,2021_10pct,7,50,6,9,1628.093510577891,1638.6535933608568,10.560082782965765,0.0016386535933608567,False
gengamma,2021_10pct,7,70,6,9,1575.2912810726218,1609.9246318272046,34.63335075458281,0.0016099246318272045,False
gengamma,2021_10pct,7,90,6,9,1545.997973061544,1593.9777478469814,47.979774785437485,0.0015939777478469813,False
gengamma,2021_10pct,7,110,6,9,1523.6286866151008,1577.5579241626892,53.9292375475884,0.0015775579241626891,False
gengamma,2021_10pct,7,130,6,9,1514.4838922262884,1570.6596161321418,56.175723905853374,0.0015706596161321417,False
gengamma,2021_10pct,7,150,6,9,1495.5456044990794,1551.8047661411545,56.259161642075014,0.0015518047661411544,False
gengamma,2021_10pct,7,170,6,9,1490.3534127739745,1545.322522180279,54.9691094063046,0.001545322522180279,False
gengamma,2021_10pct,7,190,6,9,1484.18035330604,1538.5848534027386,54.40450009669871,0.0015385848534027386,False
