truth_model,study_scenario,factor,mass_mev,anchor_nsigma,injection_rows,injection_toys,sigma_A_over_anchor_median,sigmaA_ref_over_anchor_median,Ahat_minus_Ainj_over_anchor_sigma_median,pull_mean,pull_width,refit_ls_ratio_median,refit_ls_ratio_max,refit_bound_rows,Nsig_win_median,Nsig_train_median,refit_bound_row_fraction,response_rows,paired_response_mean,paired_response_median,paired_response_std,paired_response_candidate_prefit_sigma_units_median,paired_response_anchor_prefit_sigma_units_median,paired_response_anchor_fitted_sigma_units_median
gengamma,2021_10pct,25,220,0.0,10,10,0.9999993239795304,0.9999993172410788,0.5135884081784476,0.11674121829572379,1.1824042770952683,11.485370285247619,12.11864278545667,0,0.0,0.0,0.0,,,,,,,
gengamma,2021_10pct,25,220,1.0,10,10,1.0000001735834814,0.9999993172410788,0.4671129370441969,0.24832937682774858,1.4533650202978723,11.431735059978866,12.120631055529735,0,1925.0,42.5,0.0,10.0,1.0979908055970158,0.9661195588308684,0.2780687344738493,0.96612007791778,0.9661195588308684,0.9663473634350553
gengamma,2021_10pct,25,220,3.0,10,10,0.9999999290169721,0.9999993172410788,0.4713829364942492,0.19692749952425564,1.463183499550162,11.62399840254188,12.994575025124526,0,5908.5,127.0,0.0,10.0,0.9964808047403959,0.9785502216760522,0.0858579765059981,2.9356474517710183,2.935650665028157,2.93110346530052
gengamma,2021_10pct,25,220,5.0,10,10,0.999996205429408,0.9999993172410788,0.4506838845312332,0.16749309489018038,1.4199291100845717,11.506475624814591,12.128738095328004,0,9802.5,214.5,0.0,10.0,0.9926270897204168,0.9831449779573864,0.04273254650406197,4.915744171532101,4.915724889786931,4.902400402366194
gengamma,2021_10pct_x10,6,60,0.0,10,10,1.6291293503057207,1.62897826857272,-1.4785529198110607,-0.9656598803614589,0.8681254069902934,6.000000000000006,6.000000000000006,10,0.0,0.0,1.0,,,,,,,
gengamma,2021_10pct_x10,6,60,1.0,10,10,1.629949074405773,1.62897826857272,-1.5566264912788008,-1.0139972177365562,0.8675262918351166,6.000000000000006,6.000000000000006,10,21751.5,803.5,1.0,10.0,0.9211339307895517,0.9224029460841439,0.007386380734283721,0.5647851463987255,0.9224029460841439,0.922672114320656
gengamma,2021_10pct_x10,6,60,3.0,10,10,1.631802764980287,1.62897826857272,-1.7305531727294845,-1.1111346646063718,0.8601501448893959,6.000000000000006,6.000000000000006,10,65268.0,2366.5,1.0,10.0,0.9209260231956644,0.9238611841813767,0.006621844162276407,1.6992369839736483,2.7715835525441306,2.7722175860760636
gengamma,2021_10pct_x10,6,60,5.0,10,10,1.6375718431252928,1.62897826857272,-1.8345132859832456,-1.0842343608357896,1.041340786745734,6.000000000000006,6.000000000000006,9,108954.5,3969.0,0.9,10.0,1.0810686209634965,0.9257119684340215,0.5092215452151873,2.824941894265132,4.628559842170107,4.5942681239867005
gengamma,2021_10pct_x10,6,120,0.0,10,10,2.015273639679183,2.0103710809294326,0.08934590667956134,0.012292621642002588,0.7459709797815067,6.000000000000021,6.000000000000021,10,0.0,0.0,1.0,,,,,,,
gengamma,2021_10pct_x10,6,120,1.0,10,10,2.0154104546793277,2.0103710809294326,0.012738441685291898,-0.00996280153622745,0.7480883376987177,6.000000000000021,6.000000000000021,10,15653.5,297.0,1.0,10.0,0.9734783311522172,0.9711645213293119,0.0117679346987173,0.4837122725626106,0.9711645213293119,0.9765506422112548
gengamma,2021_10pct_x10,6,120,3.0,10,10,2.014573425509068,2.0103710809294326,-0.09591960719176737,-0.05212298266293306,0.7408005410815797,6.000000000000021,6.000000000000021,10,47530.0,882.5,1.0,10.0,0.9745107110021648,0.9731976115990798,0.004633631326098918,1.4553588291336346,2.91959283479724,2.931953204742792
gengamma,2021_10pct_x10,6,120,5.0,10,10,2.014468092033675,2.0103710809294326,-0.19346360549252017,-0.09828882271922212,0.7392603293142092,6.000000000000021,6.000000000000021,10,78810.0,1491.5,1.0,10.0,0.9714789339974077,0.9729323511518642,0.005761204891591369,2.4176979946836865,4.864661755759321,4.874511195679416
