variant,dataset,bin_center_MeV,observed,gp_mean_preprofile,in_extraction_window,null_profiled_background,standalone_profiled_background,standalone_profiled_total,shared_profiled_background,shared_profiled_total
common_0p5MeV,2016,63.25,700128,699990.98969455587,True,700940.92914414697,700790.16384443035,701007.45265610015,700243.76057208166,701246.73946072161
common_0p5MeV,2016,63.75,698685,697189.90171037498,True,698166.33957240253,698013.45838691609,698254.88567783393,697459.79048260697,698574.1896735793
common_0p5MeV,2016,64.25,694457,694110.30067503871,True,695106.56909142213,694952.72747139458,695211.71907387464,694395.95981887856,695591.43374883535
common_0p5MeV,2016,64.75,692325,690764.33957769396,True,691773.72776706039,691620.05612221197,691888.30341078131,691064.24663076678,692302.44368887809
common_0p5MeV,2016,65.249999999999986,687251,687163.65657105984,True,688179.47265380889,688027.06178483425,688295.30907340359,687476.1336328442,688714.33069095551
common_0p5MeV,2016,65.749999999999986,685072,683319.3807617753,True,684335.06981114135,684184.95764682011,684443.94924930017,683642.62539201626,684838.09932197304
common_0p5MeV,2016,66.25,681367,679242.14364167815,True,680251.33910744218,680104.4993989584,680345.92668987624,679574.25408682367,680688.65327779599
common_0p5MeV,2016,66.75,674587,674942.09715836134,True,675938.70002312993,675796.03262807499,676013.32143974479,675281.10039229062,676284.07928093045
common_0p5MeV,2016,67.249999999999986,671899,670428.93297128833,True,671407.20034502237,671269.52327192423,671458.33922155795,670772.81538198725,671644.36698128865
common_0p5MeV,2016,67.75,666157,665711.90341789136,True,666666.46159145306,666534.50486152247,666692.91766360903,666058.6321261652,666789.84647154342
common_0p5MeV,2016,68.249999999999986,661491,660799.85028050572,True,661725.77330570365,661600.17452169815,661728.49386660813,661147.40343383735,661739.71001860697
common_0p5MeV,2016,68.75,657235,655701.22925460699,True,656594.06283898,656475.36431261001,656575.72051466699,656047.61929435353,656510.85139191872
common_0p5MeV,2016,69.25,652385,650424.14082640177,True,651279.92714197747,651168.57473375998,651244.35331809812,650767.43538427516,651117.22016941046
common_0p5MeV,2016,69.749999999999986,646806,644976.35915404861,True,645791.65950420406,645688.00273572712,645743.24848920363,645314.70246232697,645569.71018222801
common_0p5MeV,2016,70.25,642400,639365.36388792179,True,640137.27761022886,640041.57118623832,640080.45791473927,639696.99765939824,639876.49409750279
common_0p5MeV,2016,70.75,634776,633598.36894440511,True,634324.51593224204,634236.92243719019,634263.34980768245,633921.64434472588,634043.62989235867
common_0p5MeV,2016,71.25,627669,627682.35551330843,False,,,,,
common_0p5MeV,2016,71.75,621209,621624.09858274448,False,,,,,
common_0p5MeV,2016,72.25,616312,615430.19671335223,False,,,,,
common_0p5MeV,2016,72.75,609618,609107.09921026183,False,,,,,
