method,mass_MeV,observed_r,asimov_r,response_sd,z_standardized,p_asymptotic,p_local_common_truth,p_global_gp,p_global_gp_low,p_global_gp_high,p_global_direct,p_global_direct_low,p_global_direct_high,p_global_raw_ordering,parent_envelope_p
fixed,180,0.6338759659205078,-0.7500591052492753,1.7411327922180249,0.7948475138457369,0.26308088583986416,0.21335110421004555,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2745569174601113
fixed,181,2.031932416464088,-0.8475373567359729,1.7747234156171694,1.6224893117774692,0.02108024914309353,0.05234930990172347,0.969345,0.9685801846194674,0.9700961716442709,0.976,0.9644993614686408,0.9845636167664915,1.0,0.0742740557005557
fixed,182,1.055965759594942,-0.8871870529977853,1.756889073424929,1.106019066306042,0.14549192925647114,0.13435913349243767,0.999865,0.9998035881196323,0.9999110323239331,1.0,0.9963179161031344,1.0,1.0,0.1941608259495317
fixed,183,0.972435060356249,-0.9040276948304689,1.7507000885530417,1.0718356430413043,0.1654170784550451,0.14189693033991313,0.999945,0.9999015919434324,0.9999725438886725,1.0,0.9963179161031344,1.0,1.0,0.2076265184132012
fixed,184,0.5231539398146211,-0.9184823205866859,1.7399551940839943,0.8285479219827047,0.300433565772117,0.20368013359512394,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.300078175595667
fixed,185,0.4418948078335514,-0.9473263058429269,1.7680672132050548,0.7857286777905772,0.3292826640172296,0.21601322927168232,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3069343225084365
fixed,186,1.0178171914958232,-0.8403712726786828,1.7348624939899182,1.071086884759931,0.15438242025461613,0.14206518237429372,0.999945,0.9999015919434324,0.9999725438886725,1.0,0.9963179161031344,1.0,1.0,0.1934135907114759
fixed,187,1.0334806891160409,-0.7945522793430264,1.7670678152698485,1.0345007433571014,0.1506895014973989,0.1504510647293873,0.99998,0.9999487928556655,0.9999945506471093,1.0,0.9963179161031344,1.0,1.0,0.1983320492720957
fixed,188,1.1592297448777884,-0.6931460671335992,1.7635471706120924,1.0503693027776877,0.12318127501219556,0.14677417672259674,0.99997,0.9999347037822944,0.9999889904517174,1.0,0.9963179161031344,1.0,1.0,0.1810134021844749
fixed,189,0.8920872073323329,-0.6598942854856396,1.79290174950345,0.8656255108501059,0.18617309559361672,0.1933477805157401,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2339137765867461
fixed,190,0.2825445484238063,-0.6384481164054379,1.7492050478450119,0.5265206991964092,0.38876299635277156,0.2992632370217413,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3745650253585577
fixed,191,-0.1055020486495597,-0.5544919849117376,1.7823571623879098,0.25190794849481485,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,192,-1.0593288304486133,-0.5072863526674052,1.7761620047833322,-0.31080637706161823,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,193,-1.5882560397521317,-0.4335159276725968,1.7744390792256743,-0.6507634584915915,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
