dataset,mass_GeV,mass_MeV,eps2_observed_raw,p0_analytic,Z_analytic,eps2_observed_v3_review,dimuon_factor,eps2_observed_dimuon_v3_review
2016,0.133,133.0,0.0002417961752828,0.3719328361689603,0.3267385078058615,5.151718389803098e-05,1.0,5.151718389803098e-05
2016,0.134,134.0,5.382848589816848e-05,0.2365836638628392,0.7173351432074785,5.382848589816848e-05,1.0,5.382848589816848e-05
2016,0.135,135.0,5.223251064396762e-05,0.2905219419675738,0.5518605714662308,5.223251064396762e-05,1.0,5.223251064396762e-05
2016,0.136,136.0,5.2198977275355886e-05,0.3166400377036751,0.4771152226352211,5.2198977275355886e-05,1.0,5.2198977275355886e-05
2016,0.137,137.0,5.596626819293197e-05,0.2773240714526334,0.5908093896754666,5.596626819293197e-05,1.0,5.596626819293197e-05
2016,0.138,138.0,5.6006442398050965e-05,0.2985255386617109,0.5286459514170704,5.6006442398050965e-05,1.0,5.6006442398050965e-05
2016,0.139,139.0,5.355721381488999e-05,0.3686405868147785,0.3354559429888473,5.355721381488999e-05,1.0,5.355721381488999e-05
2016,0.14,140.0,5.243629711422724e-05,0.4062886441194703,0.2371024802822206,5.243629711422724e-05,1.0,5.243629711422724e-05
2016,0.141,141.0,4.6994062201793146e-05,0.5,0.0,4.6994062201793146e-05,1.0,4.6994062201793146e-05
2016,0.142,142.0,4.45385297428807e-05,0.5,0.0,4.45385297428807e-05,1.0,4.45385297428807e-05
2016,0.143,143.0,4.380738655549377e-05,0.499991391150154,2.1579186437577742e-05,4.380738655549377e-05,1.0,4.380738655549377e-05
2016,0.144,144.0,4.4433919504204216e-05,0.5,0.0,4.4433919504204216e-05,1.0,4.4433919504204216e-05
2016,0.145,145.0,4.317896880975318e-05,0.5,0.0,4.317896880975318e-05,1.0,4.317896880975318e-05
2016,0.146,146.0,4.264084506813125e-05,0.5,0.0,4.264084506813125e-05,1.0,4.264084506813125e-05
2016,0.147,147.0,4.230175820352921e-05,0.499991391150154,2.1579186437577742e-05,4.230175820352921e-05,1.0,4.230175820352921e-05
