mass_GeV,mass_MeV,dataset_set,band_eps2_obs_raw,scan_eps2_obs,eps2_obs_used,band_A_obs_raw,scan_A_obs,A_obs_used,scan_over_band,hard_mismatch,plotted_value_changed,observed_source_used,repair_type,column,raw_value,corrected_value,raw_over_log_linear_neighbors,detection_min_band_ratio,correction
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q16,4520.718201230883,1160.77980715344,3.894552759594398,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q50,5975.739408612801,1544.5853393695859,3.8688308481885283,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q84,8582.716724958704,2228.818701400944,3.8507917757348142,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q97,11830.30646138061,3069.274238987844,3.854431223871965,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,A_hi1,9533.887143410004,1734.133814920881,5.497780541142947,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,A_hi2,13164.669382927554,2394.962590108458,5.496816291536053,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,A_lo1,4963.690590839498,910.3326482800693,5.4526118559162,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,A_lo2,4216.87225391306,772.7497808944034,5.456969847383623,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,A_mean,7184.53804467836,1312.2705589242123,5.47489082630047,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,A_med,6572.605788240951,1202.3204420339596,5.4666007151322376,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_mean,7184.53804467836,1312.2705589242123,5.47489082630047,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q02,4216.87225391306,772.7497808944034,5.456969847383623,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q16,4963.690590839498,910.3326482800693,5.4526118559162,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q50,6572.605788240951,1202.3204420339596,5.4666007151322376,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q84,9533.887143410004,1734.133814920881,5.497780541142947,5.4526118559162,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q97,13164.669382927554,2394.962590108458,5.496816291536053,5.4526118559162,log_linear_neighbors_same_dataset_set
