stage,region,support_lower_MeV,anchor_GeV,block,seed,success,lml,const_opt,length_opt,warning_text,error_text
development,low,31.0,0.18,L3,9049,True,51.786077047692345,76.16955810113693,0.5000762902032168,,
development,low,31.0,0.18,L4,1961,True,49.00122745706342,58.878647787132664,0.46122475783368455,,
development,low,31.0,0.18,L4,5813,True,49.0012274571764,58.878896394685796,0.46122477821058505,,
development,low,31.0,0.18,L4,9049,True,49.00122745723321,58.8795107577075,0.46122477726376837,,
development,low,32.0,0.039,L1,1961,True,45.663831673887614,75.7465471369376,0.4701763497386725,,
development,low,32.0,0.039,L1,5813,True,45.6638316741207,75.74826941380395,0.47017932381794575,,
development,low,32.0,0.039,L1,9049,True,45.663831674004115,75.74656176986049,0.4701765651707364,,
development,low,32.0,0.039,L2,1961,True,44.90967703209611,75.35530739946076,0.45526306902067865,,
development,low,32.0,0.039,L2,5813,True,44.909677031928936,75.35507116875978,0.4552644088390125,,
development,low,32.0,0.039,L2,9049,True,44.90967703197194,75.35503172050326,0.4552631041866338,,
development,low,32.0,0.039,L3,1961,True,45.75291164953144,66.86934014195766,0.4776831415994279,,
development,low,32.0,0.039,L3,5813,True,45.75291164939888,66.86925172179947,0.47768273834720937,,
development,low,32.0,0.039,L3,9049,True,45.75291164946603,66.86926907781805,0.47768279065764513,,
development,low,32.0,0.039,L4,1961,True,43.0202026280208,53.15762067305765,0.43954572635093314,,
development,low,32.0,0.039,L4,5813,True,43.02020262816825,53.15760593308965,0.4395457790486522,,
development,low,32.0,0.039,L4,9049,True,43.02020262801264,53.15761962166782,0.4395457335177891,,
development,low,32.0,0.065,L1,1961,True,45.66383167391305,75.74652194633457,0.4701763065436089,,
development,low,32.0,0.065,L1,5813,True,45.66383167433847,75.74650459693314,0.4701772826455754,,
development,low,32.0,0.065,L1,9049,True,45.66383167392719,75.74415050896265,0.4701745014459584,,
development,low,32.0,0.065,L2,1961,True,44.90967703211345,75.3554074138485,0.45526317359797114,,
development,low,32.0,0.065,L2,5813,True,44.909677031730595,75.35536638086246,0.45526313128712537,,
development,low,32.0,0.065,L2,9049,True,44.909677031843756,75.35266665425048,0.45525827782905937,,
development,low,32.0,0.065,L3,1961,True,45.752911649454376,66.86952013490622,0.477683478693515,,
development,low,32.0,0.065,L3,5813,True,45.75291164948878,66.8693086445193,0.4776829028889074,,
development,low,32.0,0.065,L3,9049,True,45.75291164943039,66.86926695382839,0.47768278698706695,,
development,low,32.0,0.065,L4,1961,True,43.02020262819212,53.15757519490696,0.43954549798809517,,
development,low,32.0,0.065,L4,5813,True,43.020202628148496,53.15758482667096,0.43954590750762695,,
development,low,32.0,0.065,L4,9049,True,43.02020262794997,53.15777392195398,0.4395466480309337,,
development,low,32.0,0.1,L1,1961,True,45.6638316742272,75.74630810414794,0.4701758064568179,,
development,low,32.0,0.1,L1,5813,True,45.66383167460391,75.74625019227773,0.470175830338656,,
development,low,32.0,0.1,L1,9049,True,45.66383167390981,75.74617501166185,0.4701757821817304,,
development,low,32.0,0.1,L2,1961,True,44.90967703140639,75.35541574196074,0.4552632172741743,,
development,low,32.0,0.1,L2,5813,True,44.90967703249464,75.35539067400127,0.45526315361382325,,
development,low,32.0,0.1,L2,9049,True,44.90967703194568,75.35525380734256,0.455263147142416,,
development,low,32.0,0.1,L3,1961,True,45.75291164938082,66.86953120642923,0.4776828709243802,,
development,low,32.0,0.1,L3,5813,True,45.752911649420156,66.86927416837739,0.4776828374082461,,
development,low,32.0,0.1,L3,9049,True,45.75291164945823,66.86927836635869,0.47768279914750533,,
development,low,32.0,0.1,L4,1961,True,43.02020262803704,53.15759323769084,0.4395455952460587,,
development,low,32.0,0.1,L4,5813,True,43.02020262812293,53.15741525176364,0.43954480895308823,,
