scope_key,selected_scope_key,mass_MeV,mass_GeV,dataset_set,sigma_by_dataset_GeV,sigma_effective_GeV,next_mass_step_GeV,next_interval_sigma_mid_GeV,N_eff_next_interval_contribution,independence_width_sigma,p0_local_asymptotic,is_scope_scan_minimum,report_target_toys
final_total_search_window,pair_2016_2021,131,0.131,2016+2021,"{""2016"":0.005691473467690002,""2021"":0.0031418258750000004}",0.0031418258750000004,0.0010000000000000009,0.0031524309375000003,0.14098467286230432,2.25,0.4658671191766109,False,300
final_total_search_window,pair_2016_2021,132,0.132,2016+2021,"{""2016"":0.00574145924864,""2021"":0.003163036}",0.003163036,0.0010000000000000009,0.0031737269375000004,0.1400386527249699,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,133,0.133,2016+2021,"{""2016"":0.00579134611969,""2021"":0.0031844178750000006}",0.0031844178750000006,0.0010000000000000009,0.0031951946875000007,0.13909776646260927,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,134,0.134,2016+2021,"{""2016"":0.005841119691040001,""2021"":0.0032059715000000008}",0.0032059715000000008,0.0010000000000000009,0.0032168341875000008,0.1381620619960676,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,135,0.135,2016+2021,"{""2016"":0.005890765306250001,""2021"":0.0032276968750000004}",0.0032276968750000004,0.0010000000000000009,0.0032386454375000003,0.13723158432172303,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,136,0.136,2016+2021,"{""2016"":0.00594026804224,""2021"":0.003249594}",0.003249594,0.0010000000000000009,0.0032606284375000004,0.13630637558482767,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,137,0.137,2016+2021,"{""2016"":0.00598961270929,""2021"":0.0032716628750000007}",0.0032716628750000007,0.0010000000000000009,0.003282783187500001,0.13538647515217445,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,138,0.138,2016+2021,"{""2016"":0.006038783851040003,""2021"":0.0032939035000000005}",0.0032939035000000005,0.0010000000000000009,0.0033051096875000006,0.13447191968404065,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,139,0.139,2016+2021,"{""2016"":0.006087765744490002,""2021"":0.0033163158750000006}",0.0033163158750000006,0.0010000000000000009,0.0033276079375000006,0.1335627432053644,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,140,0.14,2016+2021,"{""2016"":0.006136542400000002,""2021"":0.0033389000000000005}",0.0033389000000000005,0.0009999999999999731,0.0033502779375,0.13265897717610856,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,141,0.141,2016+2021,"{""2016"":0.006185097561289999,""2021"":0.003361655875}",0.003361655875,0.0010000000000000009,0.0033731196875,0.13176065056080072,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,142,0.142,2016+2021,"{""2016"":0.0062334147054399994,""2021"":0.0033845835}",0.0033845835,0.0010000000000000009,0.0033961331875,0.1308677898971372,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,143,0.143,2016+2021,"{""2016"":0.006281477042890001,""2021"":0.003407682875}",0.003407682875,0.0010000000000000009,0.0034193184375,0.1299804193637478,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,144,0.144,2016+2021,"{""2016"":0.006329267517439999,""2021"":0.003430954}",0.003430954,0.0010000000000000009,0.0034426754375,0.12909856084696478,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,145,0.145,2016+2021,"{""2016"":0.006376768806249999,""2021"":0.003454396875}",0.003454396875,0.0010000000000000009,0.0034662041875000004,0.128222234006647,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,146,0.146,2016+2021,"{""2016"":0.0064239633198399995,""2021"":0.0034780115}",0.0034780115,0.0010000000000000009,0.0034899046875,0.1273514563410107,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,147,0.147,2016+2021,"{""2016"":0.0064708332020900015,""2021"":0.0035017978749999996}",0.0035017978749999996,0.0010000000000000009,0.0035137769374999996,0.1264862432504496,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,148,0.148,2016+2021,"{""2016"":0.006517360330239999,""2021"":0.0035257559999999997}",0.0035257559999999997,0.0010000000000000009,0.0035378209375,0.12562660810032725,2.25,0.4999311292015692,False,300
final_total_search_window,pair_2016_2021,149,0.149,2016+2021,"{""2016"":0.006563526314890001,""2021"":0.0035498858750000004}",0.0035498858750000004,0.0010000000000000009,0.0035620366875000003,0.12477256228272487,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,150,0.15,2016+2021,"{""2016"":0.006609312499999999,""2021"":0.0035741875}",0.0035741875,0.0010000000000000009,0.0035864241875000003,0.1239241152771321,2.25,0.4897854617196261,False,300
final_total_search_window,pair_2016_2021,151,0.151,2016+2021,"{""2016"":0.00665469996289,""2021"":0.003598660875}",0.003598660875,0.0010000000000000009,0.0036109834375,0.12308127471006845,2.25,0.4675344455817288,False,300
