scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,72,0.072,300,0,299,8.004291009961892e-07,1.2089671314523595e-06,1.6597607346310826e-06,2.3556932063457566e-06,3.4256891168881064e-06,4.510464499917761e-06,2.4938537849535135e-06,8.671427128727393e-07,0.0,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,73,0.073,300,0,299,8.932245805487365e-07,1.1933228907093809e-06,1.6054590297645697e-06,2.3634685977610835e-06,3.326644384795794e-06,4.618021685416572e-06,2.4879593045150607e-06,8.901598172890481e-07,0.0,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,74,0.074,300,0,299,1.3894398453086273e-06,1.1930355636762338e-06,1.5960135376475536e-06,2.2531425414933333e-06,3.154489291284882e-06,4.615400057461968e-06,2.4141548119337596e-06,9.029102151399438e-07,0.09666666666666666,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,75,0.075,300,0,299,1.7936324476854336e-06,1.2179731491544469e-06,1.6019716434463864e-06,2.3737929578685995e-06,3.3578112844892265e-06,4.339366878175391e-06,2.4837231817769945e-06,8.658561128947753e-07,0.23666666666666666,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,76,0.076,300,0,299,2.3843112385204307e-06,1.0971212805907967e-06,1.5982337685593078e-06,2.213240355064947e-06,3.1459521167216284e-06,4.26146812388889e-06,2.3599747822238726e-06,8.304589843004366e-07,0.5866666666666667,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,77,0.077,300,0,299,3.04474704411804e-06,1.081955051799782e-06,1.502664205859933e-06,2.2193047478064203e-06,3.042313942421035e-06,4.396796739836657e-06,2.3141038360797494e-06,8.310408483087281e-07,0.84,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,78,0.078,300,0,299,3.730359567878903e-06,1.086034661238815e-06,1.49830905193481e-06,2.0729271342676705e-06,3.064895537521061e-06,4.00580254911468e-06,2.2305340986446707e-06,7.931388789720916e-07,0.9533333333333334,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,79,0.079,300,0,299,4.141859912728571e-06,1.101096215362694e-06,1.5020290012889492e-06,2.1469755764022774e-06,3.145754335325073e-06,3.970273714173797e-06,2.2796048359521993e-06,7.870463483730145e-07,0.99,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,80,0.08,300,0,299,3.9026189083612495e-06,1.078410651442335e-06,1.517717582699416e-06,2.204109962963306e-06,3.146089991067637e-06,4.368729519660567e-06,2.324596482897932e-06,8.633938366627863e-07,0.9533333333333334,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,81,0.081,300,0,299,3.507550391398093e-06,1.0291066076780215e-06,1.404745781718185e-06,2.085261355199767e-06,3.1759850294629374e-06,3.991564252881395e-06,2.247009311571647e-06,8.763921739659645e-07,0.9166666666666666,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,82,0.082,300,0,299,2.3693916456611577e-06,1.1799129821978794e-06,1.565421760641829e-06,2.1708679396537816e-06,3.080878572469823e-06,4.224315609035068e-06,2.3224317984368843e-06,7.894483539410266e-07,0.5766666666666667,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,83,0.083,300,0,299,1.6675718483913278e-06,1.0966053917975611e-06,1.5125623928595437e-06,2.052252169278621e-06,3.0981862350651093e-06,4.01227761004295e-06,2.2397037220632497e-06,8.189130459214581e-07,0.25,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,84,0.084,300,0,299,1.322158868955613e-06,1.138673033078082e-06,1.5045989952387896e-06,2.1338733132035468e-06,3.068355257017007e-06,4.3154754324498815e-06,2.2648233255098365e-06,7.917795656050416e-07,0.08666666666666667,linear,True,False
