scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
individual_2015_full,2015 full,2015,61,0.061,100,0,99,1.4498074188678366e-05,7.822017923182e-06,9.646046094088799e-06,1.4444918677861437e-05,2.0865040013824415e-05,2.5257822425644408e-05,1.483027927202503e-05,4.9791307269954765e-06,0.5,linear,True,False
individual_2015_full,2015 full,2015,62,0.062,100,0,99,2.1905379680511607e-05,7.359111477734175e-06,1.0076746834975896e-05,1.4495915459259613e-05,2.0741836506610182e-05,3.047419315677179e-05,1.555301500419089e-05,5.663180164261833e-06,0.87,linear,True,False
individual_2015_full,2015 full,2015,63,0.063,100,0,99,3.086520458550718e-05,7.5245127705103256e-06,1.0148284786866796e-05,1.4446149168834833e-05,2.1708334324041805e-05,3.0595018245899645e-05,1.5757998047819382e-05,6.221132530535452e-06,0.97,linear,True,False
individual_2015_full,2015 full,2015,64,0.064,100,0,99,3.553340024767333e-05,9.484739200954366e-06,1.2012272432869276e-05,1.5639693539361954e-05,2.0505599058575567e-05,2.5854299133746866e-05,1.614743100145576e-05,4.441466416148091e-06,1.0,linear,True,False
individual_2015_full,2015 full,2015,65,0.065,100,0,99,3.587910361077515e-05,9.097723548774102e-06,1.1101488748607152e-05,1.6028069465625224e-05,2.347456552745251e-05,3.081002949070026e-05,1.722902363498088e-05,6.145305735061601e-06,1.0,linear,True,False
individual_2015_full,2015 full,2015,66,0.066,100,0,99,3.2955619088693855e-05,8.66226341633875e-06,1.213420848535897e-05,1.7138153980218378e-05,2.311926510148569e-05,3.078191879196051e-05,1.7812593169159646e-05,5.84172327482565e-06,0.98,linear,True,False
individual_2015_full,2015 full,2015,67,0.067,100,0,99,2.768283880277978e-05,9.092279059744973e-06,1.2484122709938166e-05,1.8507342736789955e-05,2.7423216151779338e-05,4.1060164156569804e-05,2.014483603127214e-05,8.498707437506058e-06,0.85,linear,True,False
individual_2015_full,2015 full,2015,68,0.068,100,0,99,2.3446497653259305e-05,1.1677580527470147e-05,1.4711450511685869e-05,1.8662369987723393e-05,2.7375038645756278e-05,3.596674969212861e-05,2.068415770586484e-05,6.61686374345601e-06,0.69,linear,True,False
individual_2015_full,2015 full,2015,69,0.069,100,0,99,1.947443839085616e-05,1.0880806463881297e-05,1.363325179802102e-05,1.841974454182942e-05,2.78791462294511e-05,3.6884520348220425e-05,2.0404221259357302e-05,6.978602169610268e-06,0.54,linear,True,False
individual_2015_full,2015 full,2015,70,0.07,100,0,99,1.565806608082301e-05,1.0596793836396496e-05,1.392018244950713e-05,2.0460803445678675e-05,3.1152251063630066e-05,4.047918196902684e-05,2.2199514815238293e-05,8.536871199724792e-06,0.24,linear,True,False
individual_2015_full,2015 full,2015,71,0.071,100,0,99,1.5349752708402096e-05,1.1048913916152934e-05,1.7084991975921274e-05,2.3387823138101993e-05,3.076472198855937e-05,3.886930915656919e-05,2.361508234208008e-05,7.048306348375903e-06,0.12,linear,True,False
individual_2015_full,2015 full,2015,72,0.072,100,0,99,1.610036110064495e-05,1.15149211596014e-05,1.3837395935025085e-05,2.167881801166611e-05,3.0457165770919964e-05,3.9847713831512997e-05,2.2904690986792086e-05,8.359189618032904e-06,0.26,linear,True,False
