mass_MeV,bin_center_MeV,bin_width_MeV,observed,gp_mean,in_fit,gp_sd,b_gaussian_control,s_gaussian_control,total_gaussian_control,b_log_gp,s_log_gp,total_log_gp,b_fixed,s_fixed,total_fixed
71,79.43750000000001,0.6250000000000006,1154886.0,1155331.453048111,False,,,,,,,,,,
78,69.4375,0.6250000000000006,1093293.0,1093885.7674139852,False,,,,,,,,,,
78,70.0625,0.6250000000000144,1104150.0,1104517.4671933793,False,,,,,,,,,,
78,70.6875,0.6249999999999867,1113951.0,1113958.9738374979,False,,,,,,,,,,
78,71.3125,0.6250000000000144,1121076.0,1122269.6875724266,False,,,,,,,,,,
78,71.9375,0.6250000000000006,1130302.0,1129510.6331959863,False,,,,,,,,,,
78,72.5625,0.6249999999999867,1136367.0,1135743.0916021469,False,,,,,,,,,,
78,73.1875,0.6250000000000006,1141810.0,1141027.4370530671,True,489.84535248244475,1141599.3794115488,224.08542255104788,1141823.4648340999,1141599.5785788153,224.0333681702027,1141823.6119469856,1141027.4373024697,338.78339328004506,1141366.2206957499
78,73.8125,0.6250000000000006,1147118.0,1145422.1837942088,True,520.3702093859616,1146057.2788746257,386.65454572475704,1146443.9334203505,1146057.517079986,386.56472701745537,1146444.0818070034,1145422.183857483,584.5634112943997,1146006.7472687776
78,74.4375,0.6250000000000006,1152124.0,1148983.2464492475,True,547.720656402581,1149674.7248593098,618.4817309580942,1150293.2065902678,1149675.0003154532,618.3380594813754,1150293.3383749346,1148983.2463597984,935.051183206559,1149918.2975430049
78,75.0625,0.6250000000000006,1152628.0,1151763.396012053,True,570.9204405467237,1152503.253356511,917.1188310495403,1153420.3721875607,1152503.5628531654,916.905787057797,1153420.4686402231,1151763.395877086,1386.5454793392971,1153149.9413564254
78,75.6875,0.6250000000000006,1154382.0,1153811.9044954823,True,589.2255367879739,1154591.1634165077,1260.723792788803,1155851.8872092965,1154591.5024071557,1260.4309303807831,1155851.9333375364,1153811.9048631075,1906.0244064407204,1155717.9292695483
78,76.31249999999999,0.6250000000000006,1160070.0,1155174.3521524486,True,602.1204799708199,1155983.3284937807,1606.6097421022519,1157589.938235883,1155983.6913209595,1606.2365314112892,1157589.9278523708,1155174.3520110534,2428.951843050773,1157603.3038541041
78,76.9375,0.6250000000000006,1157762.0,1155892.5714229979,True,609.3085282229182,1156721.147250062,1898.0049404239526,1158619.152190486,1156721.5273998098,1897.564039490326,1158619.0914393002,1155892.5714628396,2869.4974749311714,1158762.0689377708
78,77.56249999999999,0.6250000000000006,1160222.0,1156004.7164490102,True,610.6991954203519,1156842.617509864,2078.648435935404,1158921.2659457994,1156843.0079257726,2078.165572052088,1158921.1734978247,1156004.7164242822,3142.603220439434,1159147.3196447217
78,78.1875,0.6250000000000006,1155707.0,1155545.420908275,True,606.3923143925574,1156382.4656690499,2110.3848211270674,1158492.850490177,1156382.8590741232,2109.8945849753436,1158492.7536590986,1155545.4209885753,3190.583852750423,1158736.0048413258
78,78.81250000000001,0.6250000000000006,1157591.0,1154546.028310861,True,596.6600170786801,1155372.3762222028,1986.274183770632,1157358.6504059734,1155372.7654583799,1985.812778152864,1157358.5782365326,1154546.02844213,3002.947270294088,1157548.9757124241
78,79.43750000000001,0.6250000000000006,1154886.0,1153034.8751558054,True,581.9270702292097,1153841.2329427088,1733.0599097621764,1155574.292852471,1153841.6112664877,1732.6573250712881,1155574.268591559,1153034.8751007128,2620.125442801113,1155655.0005435138
78,80.0625,0.6249999999999867,1152871.0,1151037.6030002958,True,562.7499275328837,1151815.4160010056,1401.7952062535544,1153217.2112072592,1151815.7773448268,1401.4695733734563,1153217.2469182003,1151037.6034142973,2119.3031266908665,1153156.9065409882
78,80.68750000000001,0.6250000000000144,1151691.0,1148577.4911125014,True,539.7954867681476,1149319.092673551,1051.1188942884228,1150370.2115678394,1149319.4318433595,1050.8747224783426,1150370.306565838,1148577.4909444759,1589.133383572414,1150166.6243280482
78,81.3125,0.6250000000000006,1148615.0,1145675.7822890861,True,513.819637328443,1146374.5172037873,730.6593306459245,1147105.1765344332,1146374.830033076,730.4896006446038,1147105.3196337207,1145675.7820572117,1104.6468108007464,1146780.4288680125
