mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,injected_signal_counts,background_m66,background_m71,background_m72
228.8125,34869.0,34652.37974035537,818.425544148722,0.0,34653.803428811894,34651.039886934086,34651.50697260871
229.4375,34122.0,34034.7622015789,801.8583156491937,0.0,34036.01383674784,34033.48026953641,34033.97507850005
230.0625,33577.0,33427.57886651041,785.4076086403874,0.0,33428.65740652216,33426.35977036686,33426.878824576466
230.6875,32703.0,32830.67467027327,769.09659018881,0.0,32831.580088195624,32829.52285123221,32830.06263990498
231.3125,32143.0,32243.896608769777,752.9516923677047,0.0,32244.62984928543,32242.816013227726,32243.373034751967
231.9375,31664.0,31667.093700201913,737.0017995139866,0.0,31667.656626299737,31666.08778861385,31666.658552162855
232.5625,31281.0,31100.116911491325,721.2773552616283,0.0,31100.512284435557,31099.18865557898,31099.769704928927
233.1875,30649.0,30542.819143915414,705.8098001625009,0.0,30543.05053927539,30541.971023246508,30542.55895596905
233.8125,29839.0,29995.05516221302,690.6307954042117,0.0,29995.126941877104,29994.289182123943,29994.880660160736
234.4375,29283.0,29456.68156211128,675.7713549496129,0.0,29456.598811692555,29455.999246161748,29456.591012763736
235.0625,28969.0,28927.556732674122,661.2612639458816,0.0,28927.325210593277,28926.959146223828,28927.54804262763
235.6875,28487.0,28407.540824980162,647.1283726714258,0.0,28407.16689241208,28407.028560905474,28407.61154018658
236.3125,27871.0,27896.495698479575,633.3979040232646,0.0,27895.986268125558,27896.068922409857,27896.64304979073
236.9375,27429.0,27394.284895000812,620.0919585614554,0.0,27393.647383359144,27393.943343326286,27394.505823374
237.5625,26945.0,26900.773621144228,607.228987155244,0.0,26900.0158743285,26900.51660643524,26901.064789223572
238.1875,26665.0,26415.828700811333,594.8234389402212,0.0,26414.958931539946,26415.6551485111,26416.186531093375
238.8125,25803.0,25939.31855225008,582.885298411669,0.0,25938.345298808938,25939.2270075385,25939.739253088934
239.4375,25234.0,25471.113160458728,571.4200715276044,0.0,25470.04521769244,25471.10181581121,25471.59274884161
240.0625,25039.0,25011.084061250804,560.4283852087265,0.0,25009.93042135205,25011.150768632167,25011.6183920759
240.6875,24441.0,24559.104308120128,549.9061399347396,0.0,24557.874111872152,24559.246608111043,24559.68909666619
241.3125,24265.0,24115.048453583113,539.8444421523366,0.0,24113.75093259136,24115.263592215204,24115.679303377085
241.9375,23759.0,23678.792527138172,530.229814314755,0.0,23677.43694546663,23679.077483727768,23679.464961167832
242.5625,23220.0,23250.214023522658,521.0444136029815,0.0,23248.80964342504,23250.565527615585,23250.923500715842
243.1875,22715.0,22829.191877124067,512.2661657683171,0.0,22827.74789171634,22829.606438232906,22829.93382247272
243.8125,22302.0,22415.60645401401,503.8694280676968,0.0,22414.131946726324,22416.080377582344,22416.376273385853
244.4375,22045.0,22009.33952167186,495.8252373524903,0.0,22007.843430697674,22009.86894403884,22010.132640631375
245.0625,21563.0,21610.27425112453,488.10186383206286,0.0,21608.765316495774,21610.855152376243,21611.086121001652
245.6875,21282.0,21218.295196276722,480.6654182495921,0.0,21216.781928075827,21218.923430295275,21219.121323651834
246.3125,20657.0,20833.288283262737,473.4803159385041,0.0,20831.778917110973,20833.959593959735,20834.124244529612
246.9375,20475.0,20455.1407934594,466.5100475082294,0.0,20453.64326638658,20455.850849224957,20455.98226272072
247.5625,20313.0,20083.741361134213,459.7176964508643,0.0,20082.263279836643,20084.485766585596,20084.58411426272
248.1874999999999,19866.0,19718.979961842026,453.0666334217709,0.0,19717.52856258352,19719.75428076021,19719.819901906118
248.8125,19225.0,19360.747894671185,446.52112223673123,0.0,19359.33003282072,19361.54767693577,19361.58106961128
249.4375,18967.0,19008.937785423925,440.0469490641327,0.0,19007.55990626901,19009.758582475126,19009.760392326414
250.06250000000003,18767.0,18663.443569564904,433.61199020867093,0.0,18662.111689407433,18664.28095717253,18664.25197486722
250.6875,18547.0,18324.160485963825,427.18673609857564,0.0,18322.880177765375,18325.010085166497,18324.951239827933
251.3125,18038.0,17990.98507959641,420.74488490539915,0.0,17989.761455469772,17991.84256752338,17991.754914493507
251.93749999999997,17656.0,17663.815177336535,414.26360783239267,0.0,17662.65287914175,17664.676311282128,17664.561029241893
252.56250000000003,17348.0,17342.549895471016,407.7241250968119,0.0,17341.453088465525,17343.410525491963,17343.268905564586
253.1875,16938.0,17027.089628404054,401.11188604280596,0.0,17026.061991021365,17027.945715439517,17027.779149088183
253.8125,16446.0,16717.33603860391,394.41680442454924,0.0,16716.38076734541,16718.18367038831,16717.993646506355
254.43749999999997,16455.0,16413.192060784022,387.63348049876,0.0,16412.31185941395,16414.027460201793,16413.815551799093
255.06250000000003,16273.0,16114.561888959917,380.7612111411928,0.0,16113.758973995507,16115.38142801366,16115.149283947014
255.6875,15969.0,15821.350968046416,373.80401842756476,0.0,15820.627079999638,15822.15118561963,15821.900520651834
256.3125,15490.0,15533.465996895644,366.77053783623614,0.0,15532.822394401512,15534.243599019654,15533.976188069102
256.9375,15151.0,15250.814916567657,359.6738193229695,0.0,15250.252393985105,15251.566796180707,15251.284457253983
257.5625,14975.0,14973.306911233434,352.5311579107727,0.0,14972.82580161275,14974.030144972456,14973.734738181727
258.1875,14911.0,14700.852392188577,345.3636844350204,0.0,14700.452587115342,14701.544260792862,14701.237670752484
258.8125,14642.0,14433.363002452275,338.1959686000841,0.0,14433.043960186931,14434.02098850639,14433.705123644077
259.4375,14014.0,14170.751608336044,331.05563475180446,0.0,14170.512368792253,14171.373402887853,14171.050179586375
260.0625,13884.0,13912.93229076917,323.9727469624924,0.0,13912.771497006597,13913.515800563457,13913.187137271023
260.6875,13634.0,13659.820344658576,316.97931119920656,0.0,13659.736257129181,13660.363693201209,13660.031498987295
261.3125,13525.0,13411.332265430687,310.1086311186409,0.0,13411.322785812656,13411.833798460215,13411.499968161554
261.9375,13243.0,13167.385755460053,303.39465022354466,0.0,13167.448441191007,13167.844038343437,13167.51044012617
262.5625,12904.0,12927.899705169788,296.87134476421403,0.0,12928.031794053271,12928.313527443313,12927.98199708325
263.1875,12621.0,12692.794194293441,290.5719870131215,0.0,12692.992629376842,12693.162567269348,12692.834900161404
263.8125,12446.0,12461.990480781245,284.52851031241,0.0,12462.251932486399,12462.3126422553,12461.990582708315
264.4375,12276.0,12235.41100055661,278.77082699769534,0.0,12235.731887799984,12235.686403401662,12235.371643034749
265.0625,11924.0,12012.979354630315,273.32616761457575,0.0,12013.355872049362,12013.207673853192,12012.901838401236
265.6875,11643.0,11794.62030355872,268.2184871917916,0.0,11795.048447500185,11794.801428944205,11794.506075949153
266.3125,11486.0,11580.259761832762,263.4678947484852,0.0,11580.73535252858,11580.393795217555,11580.110405973994
266.9375,11471.0,11369.824791421668,259.0900908684582,0.0,11370.343499198645,11369.912041491412,11369.642014019279
267.5625,11071.0,11163.243587559744,255.09595148050988,0.0,11163.80096077468,11163.284568759522,11163.029214249158
268.1874999999999,10917.0,10960.445479652893,251.4911132905911,0.0,10961.036967763877,10960.440901776143,10960.201437869022
