model,source,mass_GeV,mass_MeV,z,sigmaA_diagonal_poisson,injected_amplitude,refit_absorption_fraction,z_times_abs_absorption,gap_projection_amplitude,gap_abs_shift_sigmaA,tangent_absorption_fraction,tangent_solver_absorption_spread,refit_best_basin_repeats,gap_best_basin_repeats,refit_optimizer_success,gap_optimizer_success,refit_constraints_feasible,gap_constraints_feasible,refit_failure,gap_failure
knot_spline,one_pct,0.15499999999999994,154.99999999999994,3.0,696.6311383385497,2089.893415015649,0.15878692801837846,0.4763607840551354,485.00429017376524,0.6962139121867134,0.15878792080250068,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.15499999999999994,154.99999999999994,5.0,696.6311383385497,3483.1556916927484,0.1587865684075666,0.7939328420378331,485.00429017376524,0.6962139121867134,0.15878792080250068,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.15999999999999995,159.99999999999994,1.0,663.0092527424188,663.0092527424188,0.16910717837192968,0.16910717837192968,495.02972274150386,0.7466407455007638,0.1691080973984027,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.15999999999999995,159.99999999999994,3.0,663.0092527424188,1989.0277582272563,0.1691071748094278,0.5073215244282834,495.02972274150386,0.7466407455007638,0.1691080973984027,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.15999999999999995,159.99999999999994,5.0,663.0092527424188,3315.0462637120936,0.16910664396700248,0.8455332198350124,495.02972274150386,0.7466407455007638,0.1691080973984027,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.16499999999999995,164.99999999999994,1.0,630.6956309411881,630.6956309411881,0.17902157666290502,0.17902157666290502,501.8465032673311,0.7957031548140341,0.17902137127552797,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.16499999999999995,164.99999999999994,3.0,630.6956309411881,1892.0868928235645,0.17902284969764368,0.537068549092931,501.8465032673311,0.7957031548140341,0.17902137127552797,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.16499999999999995,164.99999999999994,5.0,630.6956309411881,3153.4781547059406,0.17902336610015604,0.8951168305007802,501.8465032673311,0.7957031548140341,0.17902137127552797,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.16999999999999993,169.99999999999994,1.0,599.7113536837606,599.7113536837606,0.18727266699189665,0.18727266699189665,415.6744529963018,0.6931242012394765,0.18727054005344912,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.16999999999999993,169.99999999999994,3.0,599.7113536837606,1799.134061051282,0.18727588755521007,0.5618276626656302,415.6744529963018,0.6931242012394765,0.18727054005344912,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.16999999999999993,169.99999999999994,5.0,599.7113536837606,2998.556768418803,0.18727907796738938,0.9363953898369469,415.6744529963018,0.6931242012394765,0.18727054005344912,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.17499999999999993,174.99999999999994,1.0,570.052413321774,570.052413321774,0.19279921241242193,0.19279921241242193,15.325585416961026,0.0268845198420558,0.19279606440635008,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.17499999999999993,174.99999999999994,3.0,570.052413321774,1710.1572399653219,0.19280652217281366,0.578419566518441,15.325585416961026,0.0268845198420558,0.19279606440635008,0.0,4,4,True,True,True,True,,
